Ver1.3	1021071007	StartFile	12/21/2020	2:02:29 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122120B\SoundData.txt	1021071007
1022518922	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022518922
1022530030	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022530030
1022530231	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1022530231
1022540560	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022540560
1022544411	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1022544411
1022544611	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1022544611
1022563122	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022563122
1022567213	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1022567213
1022567414	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1022567414
1022576600	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022576600
1022582917	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1022582917
1022583117	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1022583117
1022592421	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022592421
1022592625	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1022592625
1022596213	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022596213
1022596416	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022596416
1022610294	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022610294
1022610497	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1022610497
1022613179	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022613179
1022613381	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022613381
1022626656	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022626656
1022626860	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1022626860
1022629605	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022629605
1022629808	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022629808
1022641458	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022641458
1022641662	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1022641662
1022644646	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022644646
1022644849	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022644849
1022657708	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022657708
1022657912	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1022657912
1022661011	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022661011
1022661213	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022661213
1022675331	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022675331
1022675532	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1022675532
1022678820	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022678820
1022679024	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022679024
1022693139	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022693139
1022693341	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1022693341
1022707939	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022707939
1022727376	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022727376
1022731225	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022731225
1022743020	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022743020
1022754628	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022754628
1022765699	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022765699
1022765904	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1022765904
1022777193	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022777193
1022777393	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1022777393
1022813650	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022813650
1022813854	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1022813854
1022901855	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022901855
1022902056	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1022902056
1022910820	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022910820
1022911024	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1022911024
1022933028	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022933028
1022933229	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1022933229
1022941322	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022941322
1022941525	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1022941525
1022957147	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022957147
1022957347	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1022957347
1022965029	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022965029
1022965242	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1022965242
1022970563	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022970563
1022982355	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022982355
1022982557	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1022982557
1023120075	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1023120075
1023126633	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1023126633
1023126833	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1023126833
