Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
227771297	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	227771297
227786619	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227786619
227790350	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227790350
227799193	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227799193
227809784	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227809784
227817003	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227817003
227844919	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227844919
227850695	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227850695
227850900	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227850900
227854306	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227854306
227860382	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227860382
227860597	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227860597
227903281	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227903281
227907974	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227907974
227908177	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227908177
227912848	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227912848
227916638	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227916638
227916844	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227916844
227920909	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227920909
227925180	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227925180
227925385	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227925385
227932039	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227932039
227940342	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227940342
227940547	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227940547
227945819	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227945819
227951234	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227951234
227951440	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227951440
227963447	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227963447
227971027	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227971027
227971231	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227971231
227977284	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227977284
227981014	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227981014
227981217	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227981217
227996477	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227996477
228011699	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228011699
228011902	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	228011902
228016994	Triggered	2,37,38,39,40,41,	 NoSound	40	2	228016994
228021025	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228021025
228021228	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	228021228
228033659	Triggered	2,37,38,39,40,41,	 NoSound	40	2	228033659
228038233	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228038233
228038436	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	228038436
228042324	Triggered	8,52,53,54,55,56,	 NoSound	40	2	228042324
228046125	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228046125
228046327	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	228046327
228071203	Triggered	8,52,53,54,55,56,	 NoSound	40	2	228071203
228078904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228078904
228079107	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	228079107
228100324	Triggered	8,52,53,54,55,56,	 NoSound	40	2	228100324
228108025	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228108025
228108227	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	228108227
228115726	Triggered	8,52,53,54,55,56,	 NoSound	40	2	228115726
