Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
158550663	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158550663
158550866	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158550866
158554574	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158554574
158554787	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158554787
158565223	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158565223
158565428	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158565428
158569615	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158569615
158569816	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158569816
158579422	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158579422
158579626	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	158579626
158586101	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158586101
158586302	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158586302
158595246	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158595246
158595449	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	158595449
158599517	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158599517
158599719	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158599719
158608301	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158608301
158608504	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	158608504
158615581	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158615581
158615795	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158615795
158626592	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158626592
158626794	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	158626794
158631231	Triggered	8,52,53,54,55,56,	 NoSound	40	2	158631231
158639287	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158639287
158639489	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	158639489
158643618	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158643618
158643819	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158643819
158664135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158664135
158664337	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	158664337
158667925	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158667925
158668126	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158668126
158678093	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158678093
158678294	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	158678294
158691510	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158691510
158691716	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158691716
158695547	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158695547
158715758	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158715758
158715962	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158715962
158720330	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158720330
