Ver1.3	430142375	StartFile	7/30/2020	11:33:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\073020A\SoundData.txt	430142375
431340229	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	431340229
431342897	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431342897
431343504	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431343504
431354660	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431354660
431355047	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	431355047
431357403	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431357403
431357604	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431357604
431368029	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431368029
431368231	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	431368231
431371372	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431371372
